obs_date,USARGDP,USAConsConf,USAAutoSales,USANewHomeSales,USAExistHomeSales,USAPendHomeSales,USANAHB,USATotEmp,USAPMIManuf,USAPMIServices,USAPMIChicago,USAPhilFed,USAEmpStateManuf,USATippEconOpt,USAIndProd,USAHomeStarts,USAHomePermits,USAConstExpend,USANewOrdersManufxTrans,USADurGoods,USADurGoodsxTrans,USAInitClaims,USARetSales
1/1/1956,2770,NA,NA,NA,NA,NA,NA,63753,60.2,NA,NA,NA,NA,NA,22.2001,NA,NA,NA,NA,NA,NA,NA,NA
2/1/1956,2770,NA,NA,NA,NA,NA,NA,63518,58.2,NA,NA,NA,NA,NA,22.0054,NA,NA,NA,NA,NA,NA,NA,NA
3/1/1956,2770,NA,NA,NA,NA,NA,NA,63411,57.2,NA,NA,NA,NA,NA,22.0054,NA,NA,NA,NA,NA,NA,NA,NA
4/1/1956,2792.9,NA,NA,NA,NA,NA,NA,63614,55.9,NA,NA,NA,NA,NA,22.1723,NA,NA,NA,NA,NA,NA,NA,NA
5/1/1956,2792.9,NA,NA,NA,NA,NA,NA,63861,51.2,NA,NA,NA,NA,NA,21.9776,NA,NA,NA,NA,NA,NA,NA,NA
6/1/1956,2792.9,NA,NA,NA,NA,NA,NA,63820,47.7,NA,NA,NA,NA,NA,21.7828,NA,NA,NA,NA,NA,NA,NA,NA
7/1/1956,2790.6,NA,NA,NA,NA,NA,NA,63800,44.2,NA,NA,NA,NA,NA,21.1151,NA,NA,NA,NA,NA,NA,NA,NA
8/1/1956,2790.6,NA,NA,NA,NA,NA,NA,63972,51.5,NA,NA,NA,NA,NA,21.9775,NA,NA,NA,NA,NA,NA,NA,NA
9/1/1956,2790.6,NA,NA,NA,NA,NA,NA,64079,55.5,NA,NA,NA,NA,NA,22.4783,NA,NA,NA,NA,NA,NA,NA,NA
10/1/1956,2836.2,NA,NA,NA,NA,NA,NA,63975,52.7,NA,NA,NA,NA,NA,22.673,NA,NA,NA,NA,NA,NA,NA,NA
11/1/1956,2836.2,NA,NA,NA,NA,NA,NA,63796,55,NA,NA,NA,NA,NA,22.4783,NA,NA,NA,NA,NA,NA,NA,NA
12/1/1956,2836.2,NA,NA,NA,NA,NA,NA,63910,52.7,NA,NA,NA,NA,NA,22.8121,NA,NA,NA,NA,NA,NA,NA,NA
1/1/1957,2854.5,NA,NA,NA,NA,NA,NA,63632,53.6,NA,NA,NA,NA,NA,22.7287,NA,NA,NA,NA,NA,NA,NA,NA
2/1/1957,2854.5,NA,NA,NA,NA,NA,NA,64257,51,NA,NA,NA,NA,NA,22.9513,NA,NA,NA,NA,NA,NA,NA,NA
3/1/1957,2854.5,NA,NA,NA,NA,NA,NA,64404,47.5,NA,NA,NA,NA,NA,22.9234,NA,NA,NA,NA,NA,NA,NA,NA
4/1/1957,2848.2,NA,NA,NA,NA,NA,NA,64047,43.1,NA,NA,NA,NA,NA,22.6174,NA,NA,NA,NA,NA,NA,NA,NA
5/1/1957,2848.2,NA,NA,NA,NA,NA,NA,63985,43.4,NA,NA,NA,NA,NA,22.5339,NA,NA,NA,NA,NA,NA,NA,NA
6/1/1957,2848.2,NA,NA,NA,NA,NA,NA,64196,45.9,NA,NA,NA,NA,NA,22.5896,NA,NA,NA,NA,NA,NA,NA,NA
7/1/1957,2875.9,NA,NA,NA,NA,NA,NA,64540,45.7,NA,NA,NA,NA,NA,22.7287,NA,NA,NA,NA,NA,NA,NA,NA
8/1/1957,2875.9,NA,NA,NA,NA,NA,NA,63959,45.3,NA,NA,NA,NA,NA,22.7287,NA,NA,NA,NA,NA,NA,NA,NA
9/1/1957,2875.9,NA,NA,NA,NA,NA,NA,64121,45.8,NA,NA,NA,NA,NA,22.534,NA,NA,NA,NA,NA,NA,NA,NA
10/1/1957,2846.4,NA,NA,NA,NA,NA,NA,64046,41.1,NA,NA,NA,NA,NA,22.2001,NA,NA,NA,NA,NA,NA,NA,NA
11/1/1957,2846.4,NA,NA,NA,NA,NA,NA,63669,40.4,NA,NA,NA,NA,NA,21.6715,NA,NA,NA,NA,NA,NA,NA,NA
12/1/1957,2846.4,NA,NA,NA,NA,NA,NA,63922,36.8,NA,NA,NA,NA,NA,21.2542,NA,NA,NA,NA,NA,NA,NA,NA
1/1/1958,2772.7,NA,NA,NA,NA,NA,NA,63220,33.4,NA,NA,NA,NA,NA,20.8648,NA,NA,NA,NA,NA,NA,NA,NA
2/1/1958,2772.7,NA,NA,NA,NA,NA,NA,62898,37.2,NA,NA,NA,NA,NA,20.4197,NA,NA,NA,NA,NA,NA,NA,NA
3/1/1958,2772.7,NA,NA,NA,NA,NA,NA,62731,39.8,NA,NA,NA,NA,NA,20.1693,NA,NA,NA,NA,NA,NA,NA,NA
4/1/1958,2790.9,NA,NA,NA,NA,NA,NA,62631,39.1,NA,NA,NA,NA,NA,19.8354,NA,NA,NA,NA,NA,NA,NA,NA
5/1/1958,2790.9,NA,NA,NA,NA,NA,NA,62874,46.6,NA,NA,NA,NA,NA,20.0302,NA,NA,NA,NA,NA,NA,NA,NA
6/1/1958,2790.9,NA,NA,NA,NA,NA,NA,62730,51.4,NA,NA,NA,NA,NA,20.5588,NA,NA,NA,NA,NA,NA,NA,NA
7/1/1958,2855.5,NA,NA,NA,NA,NA,NA,62745,54.7,NA,NA,NA,NA,NA,20.8648,NA,NA,NA,NA,NA,NA,NA,NA
8/1/1958,2855.5,NA,NA,NA,NA,NA,NA,63012,57.3,NA,NA,NA,NA,NA,21.2821,NA,NA,NA,NA,NA,NA,NA,NA
